week,النص الوظيفي,النص المكمل,النص الشعري,التعبير الشفهي,التراكيب,الصرف والتحويل,الإملاء,التعبير الكتابي,تطبيقات كتابية
1,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي
2,أبر والدي,الطفل والعصفور,يا وطني,ماذا....يا...؟,الجملة المفيدة,أقسام الكلمة: إسم، فعل، حرف,ال المسبوقة بالباء واللام,أحب والدي,تطبيقات كتابية
3,المغرب وطني,ثمرة المعاملة الطيبة,يا وطني,ما....يا...؟,الجملة المفيدة: علامات الترقيم,أزمنة الفعل: ماض، مضارع،أمر,ال المسبوقة بالباء واللام (تطبيق),أحب وطني,تطبيقات كتابية
4,أساعد غيري,كن رحيما,يا وطني,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
5,الأسرة المكافحة,صندوق العروسة,شهادة النجاح,كان ...حتى....,الجملة الفعلية,"نفي الماضي ب""ما"" ",دخول الباء أواللام على المبدوء باللام,العادات,تطبيقات كتابية
6,فنان ماهر,الدجاجة النشيطة,شهادة النجاح,كان....وأنا.....,الجملة الفعلية : فعل وفاعل,"نفي المضارع ب""لم""",دخول الباء أواللام على المبدوء باللام (تطبيق),الجد والاجتهاد,تطبيقات كتابية
7,الحمامة والنملة,مشروع مفيد,شهادة النجاح,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
8,أحسب معي,أحسب معي,أحسب معي,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
9,أحسب معي,أحسب معي,أحسب معي,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية
10,محبة وتسامح,من حقنا اللعب,كن صديقي,أ...؟ كلا ولكن .....,الجملة الإسمية,الإسم المفرد والمثنى والجمع,تنوين النصب,حقنا في الرعاية,تطبيقات كتابية
11,فضل المدرسة,هيا إلى المدرسة,كن صديقي,لو....ل.....,المبتدأ والخبر,الإسم النكرة والمعرف بأل,تنوين النصب (تطبيق),حماية الطفل,تطبيقات كتابية
12,خديجة تتعلم,انتخاب ممثل القسم,كن صديقي,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
13,صنعت طائرة,اختراع الطائرة,الطيارة,....حتى لا.....,الفاعل ظاهرا وضميرا,الفاعل ضميرا متصلا,التاء المربوطة والمبسوطة,في المطار,تطبيقات كتابية
14,الشباك العجيب,عامل المستقبل,الطيارة,كنت.....وأنا...,المفعول به ظاهرا وضميرا,المفعول به ضميرا متصلا,التاء المربوطة والمبسوطة (تطبيق),حوار مع السيارة,تطبيقات كتابية
15,مرض عماد,ألعب بحذر,الطيارة,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
16,المهندس الصغير,المهندس الصغير,المهندس الصغير,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
