"week","lesson1","lesson2"
1,"تقويم تشخيصي","تقويم تشخيصي"
2,"القرآن، الشرح","التزكية، الله العظيم الغني الرزاق"
3,"القرآن، العصر","الإقتداء، الرسول صلى لله عليه وسلم طفلا"
4,"القرآن، النصر","الإستجابة، فرائض الوضوء"
5,"القسط، أحفظ نفسي وأرعى حقوق غيري","الحكمة، أميط الأذى عن الطريق"
6,"تـقويم ودعم","تـقويم ودعم"
7,"القرآن، الانفطار","التزكية، الله خلقني وأحسن صورتي : الخالق لمصور"
8,"القرآن، الانفطار","الإقتداء، كدح الرسول صلى الله عليه وسلم في سبيل الرزق"
9,"القرآن، الشمس","الإستجابة، سنن الوضوء وبعض نواقضه"
10,"القسط، أحافظ على سلامة جسمي","الحكمة، أعتني بھندامي"
11,"تـقويم ودعم","تـقويم ودعم"
12,"القرآن، الأعلى","التزكية، الله يعلم ما أسر وما أعلن: العليم الخبير"
13,"القرآن، العاديات","الإقتداء، الرسول صلى الله عليھ وسلم الصادق"
14,"القرآن، الزلزلة","الإستجابة، ألفاظ الأذان والإقامة"
15,"القسط، أصدق في قولي","الحكمة، أحفظ لساني"
16,"تـقويم ودعم","تـقويم ودعم"
17,"تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة"
18,"القرآن، البروج","التزكية، الله رقيبي في السر والعلن :الرقيب الشھيد"
19,"القرآن، البروج","الإقتداء، الرسول صلى الله عليھ وسلم الصادق"
20,"القرآن، الكوثر","الإستجابة، شروط الصلاة"
21,"القسط، أنصر المظلوم","الحكمة، أثبت على الحق: قصة الغلام المؤمن"
22,"تـقويم ودعم","تـقويم ودعم"
23,"القرآن، الإنسان","التزكية، الله يرحمني ويعفو عني: العفو الرحيم"
24,"القرآن، الإنسان","الإقتداء، الرسول صلى الله عليه وسلم يؤلف بين قومه"
25,"القرآن، الإنسان","الإستجابة، فرائض الصلاة"
26,"القسط، أتسامح ولا أظلم","الحكمة، أعفو عمن ظلمني"
27,"تـقويم ودعم","تـقويم ودعم"
28,"القرآن، دعم وتثبيت","التزكية، الله الجواد الكريم"
29,"القرآن، دعم وتثبيت","الإقتداء، أحب رسول الله صلى الله عليه وسلم: أتخلق بأخلاقه"
30,"القرآن، دعم وتثبيت","الإستجابة، اذكر الله:ادعو الله في صلاتي"
31,"القسط، المؤمن كله خير","الحكمة، أرأف وأرحم"
32,"تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة"
33,"تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة"
34,"إجراءات آخر السنة","إجراءات آخر السنة"
35,"*********","*********"
