"week","lesson"
1,"أنشطة وظيفية وتشخيصية"
2,"البذور: ح 1 – ح 2"
3,"البذور: ح 4 – ح 3"
4,"ظروف إنبات البذور"
5,"بعض خاصيات الجسم الصلب"
6,"بعض خاصيات الجسم السائل"
7,"بعض خاصيات الجسم الغازي"
8,"تقويم ودعم ما سبق لجميع التلاميذ"
9,"دعم خاص وأنشطة موازية"
10,"المحرار"
11,"أعين درجة الحرارة"
12,"المحرار الطبي"
13,"بطاريات ومصابيح"
14,"الموصلات والعوازل"
15,"الدارة الكهربائية البسيطة"
16,"تقويم ودعم ما سبق لجميع التلاميذ"
17,"دعم خاص وأنشطة موازية"
18,"الظلال"
19,"نفاذية الضوء"
20,"الانعكاس"
21,"كيفية التنقل على الأرض"
22,"كيفية التنقل في الماء"
23,"كيفية التنقل في الهواء"
24,"تقويم ودعم ما سبق لجميع التلاميذ"
25,"دعم خاص وأنشطة موازية"
26,"الحركات التنفسية"
27,"التبادلات الغازية التنفسية"
28,"التبادلات الغازية التنفسية"
29,"تكييف نظام الأسنان عند العواشب"
30,"تكييف نظام الأسنان عند اللواحم"
31,"العلاقات الغذائية بين الكائنات"
32,"تقويم ودعم ما سبق لجميع التلاميذ"
33,"دعم خاص وأنشطة موازية"
34,"إجراءات أخرى للسنة الدراسية"
35,"*****"
