week,التاريخ,الجغرافيا,التربية على المواطنة
1,تقويم تشخيصي,تقويم تشخيصي,تقويم تشخيصي
2,تاريخ مدرستي ( 1 ),التعريف الأولي بالجغرافيا وبفائدتها(1),
3,تاريخ مدرستي ( 2 ),,أعي ذاتي  كانسان  ( 1 )
4,,التعريف الأولي بالجغرافيا وبفائدتها(1),أعي ذاتي كانسان( 2 )
5,تاريخ مدرستي ( 3 ),في طريقي إلى المدرسة:أتموقع ـ أتوجه,
6,تاريخ أسرتي ( 1 ),,أقدر ذاتي كما أنا
7,,في الطريق إلى المدرسة ( 1 ),أقدر الآخر كما هو ( 1 )
8,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ
9,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية
10,تاريخ أسرتي ( 2 ),في الطريق إلى المدرسة ( 2 ),
11,كيف نحسب الزمن ؟ ( 1 ),,أقدر الآخر كما هو( 2 )
12,,أتعرف مكونات محيط مدرستي,أحافظ على ذاتي
13,كيف نحسب الزمن ؟ ( 2 ),أبحث في خريطة عن موقع مدينتي,
14,كيف نحسب الزمن ؟ ( 3 ),,أحافظ على سلامتي على الطريق
15,,أرصد ألوان السماء وأتابع نشرة جوية (1),أعي مخاطر التدخين على الصحة
16,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ
17,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية
18,ألاحظ معالم الحي الذي أسكنه  ( 1 ),أرصد ألوان السماء  ( 2 ),
19,ألاحظ معالم الحي الذي أسكنه ( 2 ),,القاعدة والقانون
20,,أنجز تصميما لفصلي,كيف أنظم عملي في البيت والمدرسة
21,ألاحظ معالم الحي الذي أسكنه ( 3 ),أحسب مقياسا انطلاقا من الفصل الدراسي,
22,أبحث عن معالم مدينتي (1),,كيف أصغي بشكل نشيط وأتواصل
23,,أتعلم حساب كثافة انطلاقا من الفصل الدراسي,أهمية العمل الجماعي
24,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ
25,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية
26,أبحث عم معالم مدينتي (2),أتعرف المرافق الكبرى لمدرستي,
27,كيف نسمي ما قمنا به خلال هذه السنة ( 1 ),,كيف أبحث وأنظم معطيات  ( 1 )
28,,أمثل مرافق مدرستي في شكل رسم ...,كيف أبحث وأنظم معطيات ( 2 )
29,كيف نسمي ما قمنا به خلال هذه السنة ( 2 ),الجغرافي الصغير( 1 ),
30,كيف نسمي ما قمنا به خلال هذه السنة ( 3 ),,الرغبات
31,,الجغرافي الصغير ( 2 ),الحاجيات ، الحقوق
32,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ,تـقويم ودعم ما سبق لجميع التلاميذ
33,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية,دعم خاص أو أنشطة موازية
34,إجراءات آخر السنة,إجراءات آخر السنة,إجراءات آخر السنة
35,*********,*********,*********
