"week","lesson"
1,"تقويم تشخيصي"
2,"الألوان الأساسية والثانوية"
3,"الألوان الساخنة والباردة"
4,"الألوان المتكاملة"
5,"الألوان المحايدة"
6,"الرمادي الملون"
7,"النمنمة"
8,"تـقويم ودعم ما سبق لجميع التلاميذ"
9,"دعم خاص أو أنشطة موازية"
10,"الخط المغلق"
11,"الخط المغلق"
12,"المساحة"
13,"المساحة"
14,"مبادئ الزخرفة: التكرار"
15,"مبادئ الزخرفة: التكرار"
16,"تـقويم ودعم ما سبق لجميع التلاميذ"
17,"دعم خاص أو أنشطة موازية"
18,"التناظر"
19,"التناظر"
20,"التناوب"
21,"التناوب"
22,"الترامي"
23,"الترامي"
24,"تـقويم ودعم ما سبق لجميع التلاميذ"
25,"دعم خاص أو أنشطة موازية"
26,"الرموز والعلامات ذات اللون الواحد"
27,"الرموز والعلامات ذات اللون الواحد"
28,"الرموز والعلامات الملونة"
29,"الرموز والعلامات الملونة"
30,"مختلف الرموز والعلامات"
31,"مختلف الرموز والعلامات"
32,"تـقويم ودعم ما سبق لجميع التلاميذ"
33,"دعم خاص أو أنشطة موازية"
34,"إجراءات آخر السنة"
35,"*********"
