"week","قراءة  وظيفية","قراءة أدبية أو مسترسلة","التراكيب","الصرف والتحويل","الإملاء","الإنشاء"
1,"تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي"
2,"الأخوة في الإسلام","عائد إلى الوطن","اللازم و المتعدي","الفعل الصحيح","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة المقدمة"
3,"الحرية","عائد إلى الوطن","المبني للمعلوم و المبني للمجهول","الفعل المعتل: مثال","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة المقدمة"
4,"أخي الإنسان","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة المقدمة"
5,"المسرح المغربي","عائد إلى الوطن","النواسخ الفعلية  و الحرفية","الأجوف","حذف أو زيادة الواو و الألف","أتدرب على كتابة العرض"
6,"المكتبة العامة","عائد إلى الوطن","المفعول المطلق و المفعول لأجله","الناقص","حذف أو زيادة الواو و الألف","أتدرب على كتابة العرض"
7,"الكتاب","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","حذف أو زيادة الواو و الألف","أتدرب على كتابة العرض"
8,"تقويم و دعم","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","تقويم و دعم","تقويم و دعم"
9,"دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية"
10,"الإنسان و الفضاء","عائد إلى الوطن","النعت الحقيقي و السببي","المجرد و المزيد","الهمزة المتوسطة","أتدرب على كتابة الخاتمة"
11,"الذرة طاقة المستقبل","عائد إلى الوطن","البدل","المقصور/المنقوص و الممدود","الهمزة المتوسطة","أتدرب على كتابة الخاتمة"
12,"الطبيب الحكيم","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","الهمزة المتوسطة","أتدرب على كتابة الخاتمة"
13,"الإنسان و البيئة","عائد إلى الوطن","التوكيد","المجرد و المزيد ","الهمزة المتطرفة","أتدرب على وضع التصميم"
14,"أيها الشادي","مبادئ حقوق الإنسان","المفعول معه","النسب: مدخل","الهمزة المتطرفة","أتدرب على وضع التصميم"
15,"قالت الوردة","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","الهمزة المتطرفة","أتدرب على وضع التصميم"
16,"تقويم و دعم","عائد إلى الوطن","تقويم و دعم","تقويم و دعم","تقويم و دعم","تقويم و دعم"
17,"دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية"
18,"تكنولوجيا الاتصالات","عالم الألعاب","الحال والجملة الحالية","اسم الآلة","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة الرسالة"
19,"تاريخ الاتصال","عالم الألعاب","المنادى","اسم الفاعل و المفعول","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة الرسالة"
20,"وصف طائرة","عالم الألعاب","تقويم و دعم","تقويم و دعم","همزتا الوصل والقطع و ألف (ابن)","أتدرب على كتابة الرسالة"
21,"شفشاون","عالم الألعاب","تمييز الملفوظ و تمييز الملحوظ","اسم التفضيل","حذف أو زيادة الواو و الألف","أتدرب على مهارة الوصف"
22,"العمل","عالم الألعاب","تمييز العدد","العدد و المعدود","حذف أو زيادة الواو و الألف","أتدرب على مهارة الوصف"
23,"قريتي","عالم الألعاب","تقويم و دعم","تقويم و دعم","حذف أو زيادة الواو و الألف","أتدرب على مهارة الوصف"
24,"الوادي البديع","عالم الألعاب","تقويم و دعم","تقويم و دعم","تقويم و دعم","تقويم و دعم"
25,"دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية"
26,"الكنز العظيم","عالم الألعاب","اسم الزمان والمكان","المستثنى بـ (إلا)","الألف اللينة","أتدرب على كتابة الحوار"
27,"الصناعة","عالم الألعاب","المصدر","المستثنى بـ (غير) و (سوى)","الألف اللينة","أتدرب على كتابة الحوار"
28,"الفلاح","عالم الألعاب","تقويم و دعم","تقويم و دعم","الألف اللينة","أتدرب على كتابة الحوار"
29,"الغذاء المتوازن","عالم الألعاب","دعم عام","دعم عام","********","دعم في محاور التعبير و الإنشاء"
30,"التربية الرياضية","عالم الألعاب","دعم عام","دعم عام","********","دعم في محاور التعبير و الإنشاء"
31,"السفر إلى طنجة","عالم الألعاب","دعم عام","دعم عام","********","دعم في محاور التعبير و الإنشاء"
32,"نادي الألعاب الرياضية","عالم الألعاب","تقويم و دعم","تقويم و دعم","تقويم و دعم","تقويم و دعم"
33,"دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية","دعم خاص أو أنشطة موازية"
34,"إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة"
35,"********","********","********","********","********","********"
