"week","التزكية1","التزكية2","الإقتداء","الإستجابة","القسط","الحكمة"
1,"تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي","تقويم تشخيصي"
2,"الحاقة","أومن بالغيب (الملائكة - اليوم الآخر)",,,,
3,"نوح",,"بعثة الرسول والدعوة السرية",,,
4,"المدثر",,,"صلي صلاة التراويح جماعة",,
5,,,,,"الإيمان والإيواء: قصة آسية زوج فرعون","الرضا والتفاؤل: قصة امرأة عمران"
6,"تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم"
7,"الملك","أعرف الله من خلال خلقه",,,,
8,"الملك",,"الرسول (ص) مبلغا",,,
9,"الملك",,,"الصيام: معناه وشروطه وفوائده",,
10,,,,,"أبحث عن الحقيقة: قصة إبراهيم","أنصح وأحاور بأدب: قصة إبراهيم"
11,"تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم"
12,"المرسلات","أومن بقضاء الله وقدره",,,,
13,"المرسلات",,"صبر الرسول (ص) على الأذى",,,
14,"المرسلات",,,"فرائض الصيام",,
15,,,,,"أصون كرامتي: قصة مريم","أتفهم ولا أتهم: قصة مريم"
16,"تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم"
17,"تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة"
18,"القلم","مراتب الدين: الإسلام",,,,
19,"القلم",,"قصة ابتلاء آل ياسر",,,
20,"القلم",,,"سنن الصيام",,
21,,,,,"أرعى حق المسكين: قصة أصحاب الجنة","أعتبر: قصة أصحاب الجنة"
22,"تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم"
23,"الجن","مراتب الدين: الإيمان",,,,
24,"الجن",,"حلم الرسول (ص) ورحمته",,,
25,"الجن",,,"مفسدات الصيام والأعذار المبيحة للإفطار",,
26,,,,,"أفي بحقوق غيري","أختار الصحبة الصالحة"
27,"تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم","تـقويم ودعم"
28,"دعم وتثبيت","مراتب الدين: الإحسان",,,,
29,"دعم وتثبيت",,"أحب رسول الله (ص): ألتزم هدي النبي الخاتم",,,
30,"دعم وتثبيت",,,"اذكر الله: أتلو كتاب الله",,
31,,,,,"أستقيم كما أمرت","أقرأ القرآن وأرتقي"
32,"تقويم ودعم","تقويم ودعم","تقويم ودعم","تقويم ودعم","تقويم ودعم","تقويم ودعم"
33,"تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة","تـقويم ودعم ومعالجة"
34,"إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة","إجراءات آخر السنة"
35,"*********","*********","*********","*********","*********","*********"
