"week","lesson1","lesson2"
1,"تقويم تشخيصي و دعم علاجي.",
2,"تعرف الدارة الكهربائية البسيطة. ","تركيب دارة كهربائية على التوالي."
3,"تركيب دارة كهربائية على التوازي ","تعرف عناصر التركيب الكهربائي المنزلي."
4,"تعرف دور أسلاك التركيب الكهربائي المنزلي.","تعرف دور قاطع التيار الكهربائي."
5,"تعرف دور الصهيرة.","الإحتياط من أخطارالصعق الكهربائي."
6,"تحديد موقع التربة أصلها وكيفية تكونه","الكشف عن الماء والهواء في التربة."
7,"تقويم الموارد","تقويم الموارد"
8,"دعم خاص و أنشطة موازية","دعم خاص و أنشطة موازية"
9,"الكشف عن المواد المعدنية في التربة.","الكشف عن المواد العضوية في التربة."
10,"الكشف عن الكائنات الحية الدقيقة في التربة.","البحث عن الكائنات الحية المجهرية في التربة"
11,"ابراز دور الكائنات الحية في تكون التربة.","تعرف العوامل المسؤولة عن حث التربة."
12,"اقتراح بعض الطرق لحماية التربة.","ابراز أهمية تحسين التربة للرفع من مردودها الفلاحي."
13,"أهم مصادر الطاقة.","دور الماء والهواء والشمس في توليد الطاقة.   "
14,"الطاقة الكهربائية.","الطاقة الحرارية."
15,"تحول الطاقة الكهربائية إلى طاقة حرارية. ","التحسيس بأهمية المحافظة على الطاقة."
16,"تقويم الموارد","تقويم الموارد"
17,"دعم خاص و أنشطة موازية","دعم خاص و أنشطة موازية"
18,"تعرف ضغط غاز.","تأثير الحجم على ضغط غاز."
19,"تأثير الحرارة على ضغط غاز.","تأثير الكمية على ضغط غاز."
20,"إبراز الضغط الجوي.","تعرف كيفية تكون الرياح. "
21,"تعرف كيفية تكون السحاب.","كوكب الأرض.  "
22,"دوران الأرض حول نفسها.","دوران الأرض حول الشمس."
23,"تعاقب الليل و النهار.","تعاقب الليل و النهار."
24,"تقويم الموارد","تقويم الموارد"
25,"دعم خاص و أنشطة موازية","دعم خاص و أنشطة موازية"
26,"تواريخ بداية الفصول. ","تعاقب الفصول الأربعة. "
27,"الفصول و درجة الحرارة. ",
28,"الكسوف و الخسوف.",
29,"النظام الشمسي في الكون.",
30,"أطوار القمر.",
31,"النظام الشمسي.",
32,"التمييز بين النجم و الكوكب",
33,"تقويم الموارد","تقويم الموارد"
34,"دعم خاص و أنشطة موازية","دعم خاص و أنشطة موازية"
35,"********","********"
