"week","lesson"
1,"تقويم تشخيصي"
2,"ألعاب التركيز والانتباه (الهدف : تنمية الملاحظة)"
3,"ألعاب التركيز والانتباه (الهدف : تنمية حاسة اللمس)"
4,"ألعاب التركيز والانتباه (الهدف : تنمية حاسة السمع والقدرة على رد الفعل السريع)"
5,"ألعاب التركيز والانتباه (الهدف : الاستجابة ورد الفعل السريع)"
6,"ألعاب اكتشاف الاتجاهات (الهدف : القدرة على تحديد وبط الاتجاه)"
7,"ألعاب اكتشاف الاتجاهات (الهدف : توظيف القدرات الذاتية لإدراك المكان وضبط الاتجاه)"
8,"ألعاب الجري (الهدف : الاستئناس بألعاب الجري)"
9,"ألعاب الجري (الهدف : ضبط إيقاع الجري)"
10,"ألعاب الجري السريع (الهدف : تنمية القدرات الطبيعية)"
11,"ألعاب الجري السريع (الهدف : الجري السريع في اتجاه مستقيم)"
12,"ألعاب الجري السريع (الهدف : أوامر الانطلاق في الجري)"
13,"ألعاب الجري عبر الحواجز (الهدف : الاستئناس بالجري عبر الحواجز)"
14,"ألعاب الجري بالتناوب (الهدف : التعود على الجري في أشكال وأوضاع مختلفة)"
15,"الجري بالتناوب (الهدف : تسليم الشاهد)"
16,"الرفع والحمل (الهدف : تقوية العضلات (1))"
17,"الرفع والحمل (الهدف : تقوية العضلات (2))"
18,"ألعاب الوثب (الهدف : الاستئناس بالقفز)"
19,"ألعاب الوثب (الهدف : الإحساس بالارتفاع والاندفاع إلى الأمام)"
20,"ألعاب الوثب الطويل (الهدف : الاستئناس بالمبادئ)"
21,"ألعاب الوثب الطويل (الهدف : التنافس والتباري)"
22,"ألعاب تمهيدية للقفزات الثلاث (الهدف : البحث عن التوازن)"
23,"ألعاب تمهيدية للقفزات الثلاث (الهدف : المبادئ الأساسية)"
24,"ألعاب تمهيدية للقفزات الثلاث (الهدف : التحكم في القفزات الثلاث)"
25,"ألعاب تمهيدية للقفز العلوي (الهدف : التحكم في التوازن)"
26,"القفز العلوي (الهدف : الإحساس بالرتفاع)"
27,"التدريب على رمي الأداة (الهدف : الاستئناس برمي الأداة)"
28,"ألعاب الرمي (الهدف : الاستئناس بعملية الرمي (1))"
29,"ألعاب الرمي (الهدف : الاستئناس بعملية الرمي (2))"
30,"ألعاب الرمي (الهدف : الاستئناس بعملية الرمي (3))"
31,"ألعاب الرمي  (الهدف : تقوية العضلات)"
32,"ألعاب جماعية بالكرة (الهدف : تمارين تمهيدية لكرة اليد)"
33,"ألعاب جماعية بالكرة (الهدف : تمارين تمهيدية لكرة السلة)"
34,"إجراءات آخر السنة"
35,"*******************"
